Timestamp_WIB,Flight_IATA,Flight_ICAO,Flight_Number,Airline_IATA,Airline_ICAO,Aircraft_Code,Registration_Number,Transponder_Hex,Airline_Country_Flag,Origin_IATA,Origin_ICAO,Origin_Terminal,Destination_IATA,Destination_ICAO,Destination_Terminal,Latitude,Longitude,Heading_Deg,Altitude_Meters,Altitude_Feet,Ground_Speed_KMH,Ground_Speed_Knots,Vertical_Speed_MS,Vertical_Speed_FPM,Flight_Phase,Is_Ground,Delayed_Minutes,ETA_Timestamp,Updated_Unix_Time,Status
2026-09-25 07:05:27,QG936,CTV936,936,QG,CTV,N/A,PK-GLS,8A03AD,ID,CGK,WIII,N/A,PKU,WIBB,N/A,0.059211,101.522669,322.0,1777,5830.1,518,279.7,-25,-4921.2,Descending (Landing/Approach),0,0,N/A,1790294678,en-route
2026-09-25 08:05:30,ID6899,BTK6899,6899,ID,BTK,N/A,PK-BKR,8A09A1,ID,BTJ,WITT,N/A,CGK,WIII,N/A,1.334734,100.716105,136.0,11411,37437.7,832,449.2,0,0.0,Cruising,0,0,N/A,1790298318,en-route
2026-09-25 08:05:30,JT393,LNI393,393,JT,LNI,N/A,PK-LRI,8A097C,ID,PKU,WIBB,N/A,CGK,WIII,N/A,-0.04249,102.149777,125.9,5803,19038.7,722,389.8,22,4330.7,Climbing (Takeoff),0,0,N/A,1790298318,en-route
2026-09-25 08:05:30,IP320,PAS320,320,IP,PAS,N/A,PK-PWO,8A0A4A,ID,CGK,WIII,N/A,PKU,WIBB,N/A,0.493258,101.571119,356.0,2021,6630.6,535,288.9,-31,-6102.3,Descending (Landing/Approach),0,0,N/A,1790298274,en-route
2026-09-25 08:05:30,IU956,SJV956,956,IU,SJV,N/A,PK-SJE,8A0908,ID,CGK,WIII,N/A,DTB,WIMN,N/A,0.003723,100.622328,318.0,10992,36063.0,844,455.7,0,0.0,Cruising,0,0,N/A,1790298297,en-route
2026-09-25 09:05:29,QG883,CTV883,883,QG,CTV,N/A,PK-GLU,8A03AF,ID,KNO,WIMM,N/A,CGK,WIII,N/A,1.091433,101.188516,137.5,12074,39612.9,791,427.1,0,0.0,Cruising,0,0,N/A,1790301914,en-route
2026-09-25 09:05:29,SQ462,SIA462,462,SQ,SIA,N/A,9V-MBP,76B450,SG,SIN,WSSS,N/A,CMB,VCBI,N/A,0.713061,102.238193,280.9,9148,30013.1,855,461.7,18,3543.3,Climbing (Takeoff),0,0,N/A,1790301923,en-route
2026-09-25 09:05:29,OD336,MXD336,336,OD,MXD,N/A,9M-LDF,75056B,MY,KUL,WMKK,N/A,PKU,WIBB,N/A,0.94885,101.475357,183.0,2143,7030.8,0,0.0,-18,-3543.3,Descending (Landing/Approach),0,0,N/A,1790301424,en-route
2026-09-25 10:05:29,IP342,PAS342,342,IP,PAS,N/A,PK-PWN,8A0A44,ID,CGK,WIII,N/A,BTJ,WITT,N/A,0.701582,100.577867,317.9,11724,38464.6,854,461.1,0,0.0,Cruising,0,0,N/A,1790305526,en-route
2026-09-25 10:05:29,SQ432,SIA432,432,SQ,SIA,N/A,9V-SMS,76CDB3,SG,SIN,WSSS,N/A,MLE,VRMM,N/A,0.754758,100.680635,294.2,11076,36338.6,985,531.9,0,0.0,Cruising,0,0,N/A,1790305515,en-route
